,Name,NetWorth,Country,Source,Rank,Age,Industry
706,Matthew Calkins,$4.1 B,United States,software,705,48.0,Technology
707,Cho Tak Wong,$4.1 B,Hong Kong,auto parts,705,74.0,Manufacturing
708,Piero Ferrari,$4.1 B,Italy,automobiles,705,75.0,Automotive
709,Dan Friedkin,$4.1 B,United States,Toyota dealerships,705,56.0,Automotive
710,Laurence Graff & family,$4.1 B,United Kingdom,diamond jewelry,705,82.0,Fashion & Retail
711,Martin Haefner,$4.1 B,Switzerland,"software, investments",705,67.0,Technology
712,Hong Ra-hee,$4.1 B,South Korea,Samsung,705,75.0,Technology
713,Ji Qi,$4.1 B,China,"hotels, motels",705,54.0,Real Estate
714,"Rupert Johnson, Jr.",$4.1 B,United States,money management,705,80.0,Finance & Investments
715,Daniel Kretinsky,$4.1 B,Czechia,"energy, investments",705,45.0,Energy
716,William Lauder,$4.1 B,United States,Estee Lauder,705,60.0,Fashion & Retail
717,Janice McNair,$4.1 B,United States,"energy, sports",705,84.0,Sports
718,John Morris,$4.1 B,United States,sporting goods retail,705,73.0,Fashion & Retail
719,Gabe Newell,$4.1 B,United States,videogames,705,58.0,Gambling & Casinos
720,Katharina Otto-Bernstein,$4.1 B,Germany,real estate,705,57.0,Real Estate
721,Julio Ponce Lerou,$4.1 B,Chile,fertilizer,705,75.0,Metals & Mining
722,Jon Stryker,$4.1 B,United States,medical equipment,705,62.0,Healthcare
723,Suh Kyung-bae,$4.1 B,South Korea,cosmetics,705,58.0,Fashion & Retail
724,Xu Jingren,$4.1 B,China,pharmaceuticals,705,76.0,Healthcare
725,Samuel Yin,$4.1 B,Taiwan,retail,705,70.0,Diversified
726,Walter P.J. Droege,$4 B,Germany,investing,727,68.0,Finance & Investments
727,Du Jiangtao & family,$4 B,China,chemicals,727,51.0,Manufacturing
728,Vinod & Anil Rai Gupta,$4 B,India,electrical equipment,727,,Manufacturing
729,Masatoshi Ito,$4 B,Japan,retail,727,96.0,Fashion & Retail
730,Igor Kesaev,$4 B,Russia,"tobacco distribution, retail",727,54.0,Fashion & Retail
731,Koon Poh Keong,$4 B,Malaysia,aluminum,727,59.0,Manufacturing
732,Paul Xiaoming Lee & family,$4 B,United States,packaging,727,63.0,Manufacturing
733,Li Xiang,$4 B,China,electric vehicles,727,39.0,Automotive
734,Melissa Ma,$4 B,China,internet search,727,51.0,Technology
735,Kiran Mazumdar-Shaw,$4 B,India,biopharmaceuticals,727,68.0,Healthcare
736,Gwendolyn Sontheim Meyer,$4 B,United States,Cargill,727,59.0,Food & Beverage
737,Akira Mori & family,$4 B,Japan,real estate,727,84.0,Real Estate
738,Georg Nemetschek & family,$4 B,Germany,software,727,87.0,Technology
739,Masahiro Noda,$4 B,Japan,software,727,82.0,Technology
740,Ajay Piramal,$4 B,India,pharmaceuticals,727,65.0,Healthcare
741,Qiu Guanghe & family,$4 B,China,fashion retail,727,69.0,Fashion & Retail
742,Trevor Rees-Jones,$4 B,United States,oil & gas,727,69.0,Energy
743,Ira Rennert,$4 B,United States,investments,727,86.0,Finance & Investments
744,Marc Rowan,$4 B,United States,private equity,727,58.0,Finance & Investments
745,Ugur Sahin,$4 B,Germany,biotechnology,727,55.0,Healthcare
746,Michal Solowow,$4 B,Poland,investments,727,58.0,Finance & Investments
747,Udo & Harald Tschira,$4 B,Germany,software,727,,Technology
748,Wu Jianshu,$4 B,Hong Kong,auto parts,727,57.0,Automotive
749,Ye Xiaoping,$4 B,China,pharmaceuticals,727,58.0,Healthcare
750,Zhou Hongyi,$4 B,China,security software,727,50.0,Technology
751,Che Jianxing,$3.9 B,China,furniture retailing,752,54.0,Fashion & Retail
752,Beatriz Davila de Santo Domingo,$3.9 B,Colombia,beer,752,82.0,Food & Beverage
753,Rafael Del Pino,$3.9 B,Spain,construction,752,62.0,Construction & Engineering
754,Du Weimin,$3.9 B,China,vaccines,752,57.0,Healthcare
755,Rakesh Gangwal,$3.9 B,United States,airline,752,67.0,Service
756,Paul Gauselmann & family,$3.9 B,Germany,gambling,752,86.0,Gambling & Casinos
757,Jeff Greene,$3.9 B,United States,"real estate, investments",752,66.0,Real Estate
758,Johnelle Hunt,$3.9 B,United States,trucking,752,89.0,Logistics
759,Jin Baofang,$3.9 B,China,solar energy,752,68.0,Energy
760,Kuan Kam Hon & family,$3.9 B,Malaysia,synthetic gloves,752,73.0,Manufacturing
761,"Stephen Mandel, Jr.",$3.9 B,United States,hedge funds,752,65.0,Finance & Investments
762,Gilles Martin,$3.9 B,France,laboratory services,752,57.0,Healthcare
763,Masahiro Miki,$3.9 B,Japan,shoes,752,65.0,Fashion & Retail
764,Dan Olsson,$3.9 B,Sweden,diversified,752,74.0,Diversified
765,Robert Rowling,$3.9 B,United States,"hotels, investments",752,67.0,Service
766,Erik Selin,$3.9 B,Sweden,real estate,752,53.0,Real Estate
767,Mark Shoen,$3.9 B,United States,U-Haul,752,70.0,Automotive
768,Ben Silbermann,$3.9 B,United States,Pinterest,752,38.0,Technology
769,Maximilian Viessmann,$3.9 B,Germany,heating and cooling equipment,752,,Manufacturing
770,Wang Linpeng,$3.9 B,China,furniture retailing,752,52.0,Construction & Engineering
771,Wu Zhigang & family,$3.9 B,China,bakery chain,752,86.0,Food & Beverage
772,Yi Zheng,$3.9 B,China,software,752,50.0,Technology
773,Zhang Wenzhong,$3.9 B,China,supermarkets,752,59.0,Fashion & Retail
774,Euisun Chung,$3.8 B,South Korea,Hyundai,775,50.0,Logistics
775,Daniel D'Aniello,$3.8 B,United States,private equity,775,74.0,Finance & Investments
776,Oleg Deripaska,$3.8 B,Russia,"aluminum, utilities",775,53.0,Metals & Mining
777,Sergey Dmitriev,$3.8 B,Russia,computer software,775,55.0,Technology
778,Feng Hailiang,$3.8 B,China,"copper, education",775,60.0,Metals & Mining
779,John Gandel,$3.8 B,Australia,shopping malls,775,86.0,Real Estate
780,Gao Dekang & family,$3.8 B,China,apparel,775,69.0,Fashion & Retail
781,Jaime Gilinski Bacal,$3.8 B,Colombia,banking,775,63.0,Finance & Investments
782,Sergei Gordeev,$3.8 B,Russia,real estate,775,48.0,Real Estate
783,Jeff Green,$3.8 B,United States,online advertising,775,44.0,Media & Entertainment
784,"Amos Hostetter, Jr.",$3.8 B,United States,cable television,775,84.0,Media & Entertainment
785,Kuok Khoon Hong,$3.8 B,Singapore,palm oil,775,71.0,Manufacturing
786,Lai Jianping,$3.8 B,China,soy sauce,775,,Food & Beverage
787,Aerin Lauder,$3.8 B,United States,cosmetics,775,50.0,Fashion & Retail
788,Hans Georg Naeder,$3.8 B,Germany,prosthetics,775,59.0,Manufacturing
789,Maren Otto,$3.8 B,Germany,"retail, real estate",775,,Diversified
790,Clive Palmer,$3.8 B,Australia,mining,775,67.0,Metals & Mining
791,Karsanbhai Patel,$3.8 B,India,consumer goods,775,77.0,Diversified
792,Qiu Jianping & family,$3.8 B,China,hand tools,775,59.0,Manufacturing
793,Wolfgang Reimann,$3.8 B,Germany,consumer goods,775,68.0,Fashion & Retail
794,Matthias Reimann-Andersen,$3.8 B,Germany,consumer goods,775,56.0,Fashion & Retail
795,Stefan Reimann-Andersen,$3.8 B,Germany,consumer goods,775,57.0,Fashion & Retail
796,Renate Reimann-Haas,$3.8 B,Germany,consumer goods,775,69.0,Fashion & Retail
797,Dirk Rossmann & family,$3.8 B,Germany,drugstores,775,74.0,Fashion & Retail
798,Shaul Shani,$3.8 B,Israel,telecom,775,66.0,Telecom
799,Song Fei,$3.8 B,China,machinery,775,54.0,Manufacturing
800,Donald Sterling,$3.8 B,United States,real estate,775,86.0,Real Estate
801,Ivar Tollefsen,$3.8 B,Norway,real estate,775,59.0,Real Estate
802,Don Vultaggio & family,$3.8 B,United States,beverages,775,69.0,Food & Beverage
803,Nusli Wadia,$3.8 B,India,consumer goods,775,77.0,Food & Beverage
804,Zhang Jin,$3.8 B,China,commodities,775,49.0,Diversified
805,Zhu Gongshan,$3.8 B,China,solar panel materials,775,63.0,Manufacturing
806,Peter Gilgan,$3.7 B,Canada,homebuilding,807,70.0,Construction & Engineering
807,Marian Ilitch,$3.7 B,United States,Little Caesars,807,88.0,Food & Beverage
808,Kong Jian Min,$3.7 B,China,real estate,807,53.0,Real Estate
809,Li Liangbin,$3.7 B,China,lithium,807,53.0,Manufacturing
810,Li Yongxin & family,$3.7 B,China,education,807,45.0,Service
811,Mary Alice Dorrance Malone,$3.7 B,United States,Campbell Soup,807,71.0,Food & Beverage
812,Michael Milken,$3.7 B,United States,investments,807,74.0,Finance & Investments
813,Ronald Perelman,$3.7 B,United States,leveraged buyouts,807,78.0,Finance & Investments
814,Candido Pinheiro Koren de Lima,$3.7 B,Brazil,"hospitals, health insurance",807,74.0,Healthcare
815,J. Joe Ricketts & family,$3.7 B,United States,TD Ameritrade,807,79.0,Finance & Investments
816,Paolo & Gianfelice Mario Rocca,$3.7 B,Italy,pipe manufacturing,807,,Metals & Mining
817,Jeff Rothschild,$3.7 B,United States,Facebook,807,66.0,Technology
818,David Rubenstein,$3.7 B,United States,private equity,807,71.0,Finance & Investments
819,Maria-Elisabeth Schaeffler-Thumann,$3.7 B,Germany,auto parts,807,79.0,Automotive
820,Steven Spielberg,$3.7 B,United States,movies,807,74.0,Media & Entertainment
821,Barry Sternlicht,$3.7 B,United States,private equity,807,60.0,Finance & Investments
822,Mark Stevens,$3.7 B,United States,venture capital,807,61.0,Finance & Investments
823,David Steward,$3.7 B,United States,IT provider,807,69.0,Technology
824,Vincent Viola,$3.7 B,United States,electronic trading,807,65.0,Finance & Investments
825,Todd Wanek,$3.7 B,United States,furniture,807,57.0,Manufacturing
826,Wang Roger,$3.7 B,United States,retail,807,72.0,Fashion & Retail
827,Russ Weiner,$3.7 B,United States,energy drinks,807,50.0,Food & Beverage
828,Herbert Wertheim,$3.7 B,United States,investments,807,81.0,Finance & Investments
829,Xu Shugen,$3.7 B,China,"construction, mining machinery",807,55.0,Manufacturing
830,Anil Agarwal & family,$3.6 B,India,"mining, metals",831,67.0,Metals & Mining
831,Majid Al Futtaim & family,$3.6 B,United Arab Emirates,"real estate, retail",831,,Real Estate
832,Leonid Boguslavsky,$3.6 B,Russia,venture capital,831,69.0,Finance & Investments
833,"Austen Cargill, II.",$3.6 B,United States,Cargill,831,70.0,Food & Beverage
834,"James Cargill, II.",$3.6 B,United States,Cargill,831,71.0,Food & Beverage
835,Chu Lam Yiu,$3.6 B,Hong Kong,flavorings,831,51.0,Manufacturing
836,Steve Conine,$3.6 B,United States,online retail,831,48.0,Technology
837,Hu Kaijun,$3.6 B,China,pharmaceuticals,831,59.0,Healthcare
838,S. Curtis Johnson,$3.6 B,United States,cleaning products,831,65.0,Manufacturing
839,Helen Johnson-Leipold,$3.6 B,United States,cleaning products,831,64.0,Manufacturing
840,Daryl Katz,$3.6 B,Canada,pharmacies,831,59.0,Diversified
841,Peter Kellogg,$3.6 B,United States,investments,831,78.0,Finance & Investments
842,Samuel Tak Lee,$3.6 B,Hong Kong,real estate,831,81.0,Real Estate
843,Li Hongxin & family,$3.6 B,China,paper & related products,831,68.0,Manufacturing
844,Marianne Liebmann,$3.6 B,United States,Cargill,831,67.0,Food & Beverage
845,Winifred J. Marquart,$3.6 B,United States,cleaning products,831,62.0,Manufacturing
846,Daniel Och,$3.6 B,United States,hedge funds,831,60.0,Finance & Investments
847,Anthony Pritzker,$3.6 B,United States,"hotels, investments",831,60.0,Service
848,Rodger Riney & family,$3.6 B,United States,discount brokerage,831,75.0,Finance & Investments
849,Niraj Shah,$3.6 B,United States,online retail,831,47.0,Technology
850,Lynsi Snyder,$3.6 B,United States,In-N-Out Burger,831,38.0,Food & Beverage
851,Jerzy Starak,$3.6 B,Poland,pharmaceuticals,831,73.0,Healthcare
852,Michael Tojner,$3.6 B,Austria,"batteries, investments",831,55.0,Manufacturing
853,Richard Tsai,$3.6 B,Taiwan,finance,831,63.0,Finance & Investments
854,Ty Warner,$3.6 B,United States,"real estate, plush toys",831,76.0,Real Estate
855,Yang Shaopeng,$3.6 B,China,shipping,831,63.0,Logistics
856,Yuan Liping,$3.6 B,Canada,pharmaceuticals,831,50.0,Healthcare
857,Zhang Hongwei,$3.6 B,China,"oil, banking",831,66.0,Diversified
858,Andrej Babis,$3.5 B,Czechia,agriculture,859,66.0,Food & Beverage
859,Shyam & Hari Bhartia,$3.5 B,India,diversified,859,68.0,Diversified
860,Hubert Burda,$3.5 B,Germany,publishing,859,81.0,Media & Entertainment
861,Chuchat Petaumpai & Daonapa Petampai,$3.5 B,Thailand,motorcycle loans,859,67.0,Finance & Investments
862,Charles Cohen,$3.5 B,United States,real estate,859,69.0,Real Estate
863,David Filo,$3.5 B,United States,Yahoo,859,54.0,Technology
864,Sergei Galitsky,$3.5 B,Russia,retail,859,53.0,Fashion & Retail
865,Alessandra Garavoglia,$3.5 B,Italy,spirits,859,61.0,Food & Beverage
866,Franco Bittar Garcia,$3.5 B,Brazil,retailing,859,37.0,Fashion & Retail
867,Martha Ingram & family,$3.5 B,United States,"book distribution, transportation",859,85.0,Media & Entertainment
868,H. Fisk Johnson,$3.5 B,United States,cleaning products,859,62.0,Manufacturing
869,Li Guoqiang,$3.5 B,China,auto dealerships,859,57.0,Automotive
870,Lim Wee Chai,$3.5 B,Malaysia,rubber gloves,859,63.0,Manufacturing
871,Liu Xiaodong,$3.5 B,China,flavorings,859,53.0,Manufacturing
872,Daniel Loeb,$3.5 B,United States,hedge funds,859,59.0,Finance & Investments
873,Jim McKelvey,$3.5 B,United States,mobile payments,859,55.0,Technology
874,Apoorva Mehta,$3.5 B,Canada,grocery delivery service,859,34.0,Technology
875,N.R. Narayana Murthy,$3.5 B,India,software services,859,74.0,Technology
876,John Paulson,$3.5 B,United States,hedge funds,859,65.0,Finance & Investments
877,J.B. Pritzker,$3.5 B,United States,"hotels, investments",859,56.0,Finance & Investments
878,Michael Rubin,$3.5 B,United States,online retail,859,48.0,Fashion & Retail
879,Arnout Schuijff,$3.5 B,Netherlands,payments software,859,53.0,Technology
880,Thomas Secunda,$3.5 B,United States,Bloomberg LP,859,66.0,Media & Entertainment
881,Vivek Chaand Sehgal,$3.5 B,Australia,auto parts,859,64.0,Automotive
882,E. Joe Shoen,$3.5 B,United States,U-Haul,859,71.0,Automotive
883,Leena Tewari,$3.5 B,India,pharmaceuticals,859,63.0,Healthcare
884,Julia Thiele-Schuerhoff,$3.5 B,Germany,brakes,859,,Manufacturing
885,Romesh T. Wadhwani,$3.5 B,United States,software,859,73.0,Technology
886,Wu Shaoxun,$3.5 B,China,wine,859,65.0,Food & Beverage
887,Ye Guofu,$3.5 B,China,retail,859,43.0,Fashion & Retail
888,Denise York & family,$3.5 B,United States,San Francisco 49ers,859,70.0,Sports
889,Zhou Jianping,$3.5 B,China,fashion retail,859,60.0,Fashion & Retail
890,Mohed Altrad,$3.4 B,France,"scaffolding, cement mixers",891,73.0,Construction & Engineering
891,Gayle Benson,$3.4 B,United States,pro sports teams,891,74.0,Sports
892,Francesco Gaetano Caltagirone,$3.4 B,Italy,"cement, diversified",891,78.0,Construction & Engineering
893,"William Conway, Jr.",$3.4 B,United States,private equity,891,71.0,Finance & Investments
894,Jim Davis,$3.4 B,United States,staffing & recruiting,891,61.0,Service
895,Deng Wen,$3.4 B,China,flavorings,891,53.0,Food & Beverage
896,Ennio Doris & family,$3.4 B,Italy,financial services,891,80.0,Finance & Investments
897,Bernard Ecclestone & family,$3.4 B,United Kingdom,Formula One,891,90.0,Sports
898,Alexander Frolov,$3.4 B,Russia,"mining, steel",891,56.0,Metals & Mining
899,Fiona Geminder,$3.4 B,Australia,manufacturing,891,56.0,Manufacturing
900,Zarakh Iliev,$3.4 B,Russia,real estate,891,54.0,Real Estate
901,Viktor Kharitonin,$3.4 B,Russia,pharmaceuticals,891,48.0,Healthcare
902,Steven Klinsky,$3.4 B,United States,investments,891,64.0,Finance & Investments
903,Chris Larsen,$3.4 B,United States,cryptocurrency,891,60.0,Finance & Investments
904,Angela Leong,$3.4 B,Hong Kong,casinos,891,60.0,Real Estate
905,Margarita Louis-Dreyfus & family,$3.4 B,Switzerland,commodities,891,58.0,Food & Beverage
906,John Middleton,$3.4 B,United States,tobacco,891,66.0,Food & Beverage
907,Arnon Milchan,$3.4 B,Israel,movie making,891,76.0,Media & Entertainment
908,Arturo Moreno,$3.4 B,United States,"billboards, Anaheim Angels",891,74.0,Sports
909,God Nisanov,$3.4 B,Russia,real estate,891,48.0,Real Estate
910,Benjamin Zhengmin Pan & family,$3.4 B,China,electronics,891,51.0,Technology
911,Jay Paul,$3.4 B,United States,real estate,891,73.0,Real Estate
912,Remo Ruffini,$3.4 B,Italy,winter jackets,891,59.0,Fashion & Retail
913,Patrick Ryan,$3.4 B,United States,insurance,891,83.0,Finance & Investments
914,RJ Scaringe,$3.4 B,United States,electric vehicles,891,38.0,Automotive
915,Lynn Schusterman,$3.4 B,United States,"oil & gas, investments",891,82.0,Energy
916,Eric Ya Shen,$3.4 B,China,online apparel retail,891,50.0,Technology
917,Daniel Tsai,$3.4 B,Taiwan,finance,891,64.0,Finance & Investments
918,Tung Chee Chen,$3.4 B,Hong Kong,shipping,891,78.0,Logistics
919,Bulat Utemuratov,$3.4 B,Kazakhstan,"mining, banking, hotels",891,63.0,Metals & Mining
920,Frank VanderSloot,$3.4 B,United States,"nutrition, wellness products",891,72.0,Fashion & Retail
921,Kelcy Warren,$3.4 B,United States,pipelines,891,65.0,Energy
922,Xu Yi,$3.4 B,China,Internet,891,31.0,Media & Entertainment
923,Vladimir Yevtushenkov,$3.4 B,Russia,"telecom, investments",891,72.0,Telecom
924,Somphote Ahunai,$3.3 B,Thailand,renewable energy,925,53.0,Energy
925,John Arnold,$3.3 B,United States,hedge funds,925,47.0,Finance & Investments
926,Neal Blue & family,$3.3 B,United States,defense,925,86.0,Manufacturing
927,Alejandro Bulgheroni,$3.3 B,Argentina,oil & gas,925,76.0,Energy
928,Dong Jinggui,$3.3 B,China,electric scooters,925,51.0,Automotive
929,Joseph Edelman,$3.3 B,United States,hedge funds,925,65.0,Finance & Investments
930,Charles Edelstenne,$3.3 B,France,aviation,925,83.0,Manufacturing
931,Senapathy Gopalakrishnan,$3.3 B,India,software services,925,66.0,Technology
932,B. Wayne Hughes,$3.3 B,United States,self storage,925,87.0,Service
933,Ravi Jaipuria,$3.3 B,India,"soft drinks, fast food",925,66.0,Food & Beverage
934,Samvel Karapetyan,$3.3 B,Russia,real estate,925,55.0,Construction & Engineering
935,Vyacheslav Kim,$3.3 B,Kazakhstan,fintech,925,51.0,Finance & Investments
936,Jim Koch,$3.3 B,United States,beer,925,71.0,Food & Beverage
937,"Andre Koo, Sr.",$3.3 B,Taiwan,financial services,925,53.0,Finance & Investments
938,Yuri Kovalchuk,$3.3 B,Russia,"banking, insurance, media",925,69.0,Finance & Investments
939,Richard LeFrak & family,$3.3 B,United States,real estate,925,75.0,Real Estate
940,Kevin David Lehmann,$3.3 B,Germany,drugstores,925,18.0,Fashion & Retail
941,Horst Paulmann & family,$3.3 B,Chile,retail,925,86.0,Fashion & Retail
942,Jean (Gigi) Pritzker,$3.3 B,United States,"hotels, investments",925,58.0,Service
943,Qi Xiangdong,$3.3 B,China,software,925,50.0,Technology
944,Renzo Rosso & family,$3.3 B,Italy,fashion,925,65.0,Fashion & Retail
945,Stephen Rubin,$3.3 B,United Kingdom,sports apparel,925,84.0,Fashion & Retail
946,"Bernard Saul, II.",$3.3 B,United States,"banking, real estate",925,88.0,Finance & Investments
947,Klaus-Peter Schulenberg,$3.3 B,Germany,ticketing service,925,,Service
948,Tahir & family,$3.3 B,Indonesia,diversified,925,69.0,Diversified
949,Lucio Tan,$3.3 B,Philippines,diversified,925,86.0,Diversified
950,Lottie Tham & family,$3.3 B,Sweden,H&M,925,71.0,Fashion & Retail
951,Wang Wenxue,$3.3 B,China,real estate,925,53.0,Real Estate
952,Hans Peter Wild,$3.3 B,Switzerland,flavorings,925,79.0,Food & Beverage
953,"William Wrigley, Jr.",$3.3 B,United States,chewing gum,925,57.0,Food & Beverage
954,Zhang Xin & Pan Shiyi,$3.3 B,China,real estate,925,55.0,Real Estate
955,Giuliana Benetton,$3.2 B,Italy,"fashion retail, investments",956,83.0,Fashion & Retail
956,Luciano Benetton,$3.2 B,Italy,"fashion retail, investments",956,85.0,Fashion & Retail
957,Tomasz Biernacki,$3.2 B,Poland,supermarkets,956,48.0,Fashion & Retail
958,Chey Tae-won,$3.2 B,South Korea,"oil, semiconductor",956,60.0,Telecom
959,John Collison,$3.2 B,Ireland,payments software,956,30.0,Technology
960,Patrick Collison,$3.2 B,Ireland,payment software,956,32.0,Technology
961,Jack Cowin,$3.2 B,Australia,fast food,956,78.0,Food & Beverage
962,Archie Aldis Emmerson & family,$3.2 B,United States,"timberland, lumber mills",956,91.0,Manufacturing
963,Yoichi & Keiko Erikawa,$3.2 B,Japan,videogames,956,,Media & Entertainment
964,Juan Carlos Escotet,$3.2 B,Venezuela,banking,956,61.0,Finance & Investments
965,Carlo Fidani,$3.2 B,Canada,real estate,956,66.0,Real Estate
966,Don Hankey,$3.2 B,United States,auto loans,956,77.0,Finance & Investments
967,Otto Happel,$3.2 B,Germany,engineering,956,73.0,Construction & Engineering
968,He Zhaoxi,$3.2 B,China,software,956,47.0,Technology
969,Heidi Horten,$3.2 B,Austria,retail,956,80.0,Fashion & Retail
970,Ke Zunhong & family,$3.2 B,China,pharmaceuticals,956,66.0,Healthcare
971,Thai Lee,$3.2 B,United States,IT provider,956,62.0,Technology
972,Mikhail Lomtadze,$3.2 B,Georgia,fintech,956,45.0,Finance & Investments
973,Ronald McAulay,$3.2 B,Hong Kong,energy,956,85.0,Energy
974,Maja Oeri,$3.2 B,Switzerland,Pharmaceuticals,956,66.0,Healthcare
975,James Packer,$3.2 B,Australia,casinos,956,53.0,Gambling & Casinos
976,John Sall,$3.2 B,United States,software,956,73.0,Technology
977,Naguib Sawiris,$3.2 B,Egypt,telecom,956,66.0,Telecom
978,Zygmunt Solorz-Zak,$3.2 B,Poland,TV broadcasting,956,64.0,Media & Entertainment
979,Lawrence Stroll,$3.2 B,Canada,fashion investments,956,61.0,Fashion & Retail
980,Rita Tong Liu,$3.2 B,Hong Kong,real estate,956,72.0,Real Estate
981,Tsai Cheng-ta,$3.2 B,Taiwan,finance,956,71.0,Finance & Investments
982,Tsai Hong-tu,$3.2 B,Taiwan,finance,956,68.0,Finance & Investments
983,Steve Wynn,$3.2 B,United States,"casinos, hotels",956,79.0,Gambling & Casinos
984,Zhang Li,$3.2 B,China,real estate,956,68.0,Real Estate
985,Otto Philipp Braun,$3.1 B,Germany,medical technology,986,43.0,Healthcare
986,John Caudwell,$3.1 B,United Kingdom,mobile phones,986,68.0,Telecom
987,Chi Yufeng,$3.1 B,China,software,986,50.0,Technology
988,Camilla de Godoy Bueno Grossi,$3.1 B,Brazil,medical labs,986,42.0,Healthcare
989,Antonio Del Valle Ruiz & family,$3.1 B,Mexico,chemicals,986,82.0,Manufacturing
990,Martin Ebner,$3.1 B,Switzerland,investments,986,75.0,Finance & Investments
991,John Fisher,$3.1 B,United States,Gap,986,59.0,Fashion & Retail
992,Jane Goldman,$3.1 B,United States,real estate,986,65.0,Real Estate
993,Gu Yuhua & family,$3.1 B,China,furniture,986,71.0,Manufacturing
994,Hao Hong,$3.1 B,United States,pharmaceuticals,986,65.0,Healthcare
995,Hoi Kin Hong,$3.1 B,Macao,real estate,986,68.0,Real Estate
996,Jin Lei,$3.1 B,China,pharmaceuticals,986,55.0,Healthcare
997,Artem Khachatryan,$3.1 B,Russia,retail,986,46.0,Fashion & Retail
998,Li Gaiteng,$3.1 B,China,hair dryers,986,48.0,Manufacturing
999,Li Zhongchu,$3.1 B,China,software,986,57.0,Technology
1000,Harald Link,$3.1 B,Thailand,diversified,986,66.0,Diversified
1001,Sergey Lomakin,$3.1 B,Russia,retail,986,47.0,Fashion & Retail
1002,Nie Tengyun & family,$3.1 B,China,logistics,986,45.0,Service
1003,Prasert Prasarttong-Osoth,$3.1 B,Thailand,hospitals,986,88.0,Healthcare
1004,Penny Pritzker,$3.1 B,United States,"hotels, investments",986,61.0,Finance & Investments
1005,Herb Simon,$3.1 B,United States,real estate,986,86.0,Real Estate
1006,Jerry Speyer,$3.1 B,United States,real estate,986,80.0,Real Estate
1007,Wilhelm Beier & family,$3 B,Germany,pharmaceuticals,1008,64.0,Healthcare
1008,Koos Bekker,$3 B,South Africa,"media, investments",1008,68.0,Media & Entertainment
1009,Ben Chestnut,$3 B,United States,email marketing,1008,46.0,Technology
1010,John Coates,$3 B,United Kingdom,online gambling,1008,51.0,Gambling & Casinos
1011,Pedro de Godoy Bueno,$3 B,Brazil,health insurance,1008,30.0,Healthcare
1012,Carl Douglas,$3 B,Sweden,investments,1008,59.0,Diversified
1013,Eric Douglas,$3 B,Sweden,investments,1008,52.0,Diversified
1014,Behdad Eghbali,$3 B,United States,private equity,1008,44.0,Finance & Investments
1015,Jose E. Feliciano,$3 B,United States,private equity,1008,47.0,Finance & Investments
1016,Philippe Foriel-Destezet,$3 B,France,employment agency,1008,85.0,Service
1017,Gan Zhongru,$3 B,China,pharmaceuticals,1008,72.0,Healthcare
1018,Allan Goldman,$3 B,United States,real estate,1008,78.0,Real Estate
1019,Amy Goldman Fowler,$3 B,United States,real estate,1008,66.0,Real Estate
1020,Alec Gores,$3 B,United States,private equity,1008,68.0,Finance & Investments
1021,Peter Grogg,$3 B,Switzerland,biochemicals,1008,79.0,Healthcare
1022,Jimmy Haslam,$3 B,United States,"gas stations, retail",1008,67.0,Fashion & Retail
1023,Christian Haub,$3 B,Germany,retail,1008,56.0,Fashion & Retail
1024,Gudrun Heine,$3 B,Germany,medical devices,1008,66.0,Healthcare
1025,Huang Jinfeng,$3 B,China,e-commerce,1008,38.0,Fashion & Retail
1026,Huang Rulun,$3 B,China,real estate,1008,69.0,Real Estate
1027,James Irsay,$3 B,United States,Indianapolis Colts,1008,61.0,Sports
1028,Justin Ishbia,$3 B,United States,★,1008,43.0,Finance & Investments
1029,Diane Kemper,$3 B,United States,real estate,1008,75.0,Real Estate
1030,George Kurtz,$3 B,United States,security software,1008,50.0,Technology
1031,Dan Kurzius,$3 B,United States,email marketing,1008,49.0,Technology
1032,Kwek Leng Beng,$3 B,Singapore,diversified,1008,80.0,Diversified
1033,Geoffrey Kwok,$3 B,Hong Kong,real estate,1008,35.0,Real Estate
1034,Sheldon Lavin,$3 B,United States,meat processing,1008,88.0,Food & Beverage
1035,Louis Le Duff,$3 B,France,bakeries,1008,74.0,Food & Beverage
1036,James Leprino,$3 B,United States,cheese,1008,83.0,Food & Beverage
1037,Joseph Liemandt,$3 B,United States,software,1008,52.0,Technology
1038,Peter Lim,$3 B,Singapore,investments,1008,67.0,Finance & Investments
1039,Jeffrey Lurie,$3 B,United States,Philadelphia Eagles,1008,69.0,Sports
1040,Tom Morris,$3 B,United Kingdom,retail,1008,66.0,Fashion & Retail
1041,Or Wai Sheun,$3 B,Hong Kong,real estate,1008,69.0,Real Estate
1042,P.V. Ramprasad Reddy,$3 B,India,pharmaceuticals,1008,63.0,Healthcare
1043,Haim Saban,$3 B,United States,"TV network, investments",1008,76.0,Media & Entertainment
1044,Ferit Faik Sahenk,$3 B,Turkey,diversified,1008,57.0,Diversified
1045,Eddy Kusnadi Sariaatmadja,$3 B,Indonesia,"media, tech",1008,67.0,Media & Entertainment
1046,Gil Shwed,$3 B,Israel,software,1008,52.0,Technology
1047,Song Zuowen,$3 B,China,"aluminum, diversified",1008,74.0,Diversified
1048,Friede Springer,$3 B,Germany,publishing,1008,78.0,Media & Entertainment
1049,Sybill Storz,$3 B,Germany,medical devices,1008,84.0,Healthcare
